,Frame location,IOU Per Nuclei,Average Precision
0,./Manning_Simple/Overlay/img1/WellA1_Seq0000_WellA1_Seq0000_T02_XY4_RGB.tif,"[0.8293370944992948, 0.7479674796747967, 0.7639097744360902, 0.7969924812030075, 0.7566302652106084, 0.625, 0.755741127348643, 0.8857142857142857]",1
1,./Manning_Simple/Overlay/img10/WellC4_Seq0011_WellC4_Seq0011_T03_XY6_RGB.tif,"[0.7828418230563002, 0.8521739130434782, 0, 0.43548387096774194, 0.4042672655811342, 0.8465346534653465, 0.6164021164021164, 0.6681681681681682, 0.599406528189911, 0]",0.6
2,./Manning_Simple/Overlay/img11/WellB4_Seq0004_WellB4_Seq0004_T01_XY1_RGB.tif,"[0.7538860103626943, 0.666023166023166, 0.8641160949868074, 0.7081967213114754, 0.8288543140028288, 0.8180212014134276, 0.8972868217054264, 0.7566938300349243, 0.7735849056603774, 0.8075370121130552]",1
3,./Manning_Simple/Overlay/img12/WellB4_Seq0004_WellB4_Seq0004_T01_XY2_RGB.tif,"[0.47164948453608246, 0.8151750972762646, 0.8755186721991701, 0.7835325365205843, 0.7272727272727273, 0.7549407114624506, 0.6589259796806967, 0.7036553524804178, 0.6557759626604434, 0.714078374455733]",0.9
4,./Manning_Simple/Overlay/img13/WellB4_Seq0004_WellB4_Seq0004_T02_XY5_RGB.tif,"[0.40186915887850466, 0, 0.5249433106575964, 0.2798573975044563, 0.4280532043530834, 0.6391650099403579, 0.16763678696158324, 0.497196261682243, 0, 0.4482758620689655, 0.34509803921568627]",0.1818181818
5,./Manning_Simple/Overlay/img14/WellC2_Seq0009_WellC2_Seq0009_T01_XY4_RGB.tif,"[0.7675233644859814, 0.8896, 0.8070175438596491, 0.8790322580645161, 0.8036175710594315, 0.7643979057591623, 0, 0.8523206751054853, 0.9289940828402367, 0.6223091976516634, 0.8692722371967655, 0.878625134264232]",0.9166666667
6,./Manning_Simple/Overlay/img15/WellC2_Seq0009_WellC2_Seq0009_T01_XY6_RGB.tif,"[0.739524348810872, 0.7880184331797235, 0.9210110584518167, 0.9259980525803311, 0.7182890855457227, 0, 0.5502092050209205, 0, 0.8875338753387534, 0.8782051282051282, 0.762406015037594, 0.8553672316384181]",0.8333333333
7,./Manning_Simple/Overlay/img16/WellC3_Seq0010_WellC3_Seq0010_T08_XY8_RGB.tif,"[0.9368029739776952, 0.5589887640449438, 0.9473684210526315, 0.7715959004392386, 0.9172610556348074, 0.927027027027027, 0.916354556803995, 0.7516556291390728, 0.8120300751879699, 0.9552941176470588, 0.8870431893687708, 0.9421965317919075, 0.7909604519774012, 0.864423076923077, 0.7344461305007587]",1
8,./Manning_Simple/Overlay/img17/WellA1_Seq0000_WellA1_Seq0000_T17_XY1_RGB.tif,"[0.7699530516431925, 0.8203592814371258, 0.7688984881209503, 0.5609756097560976, 0.8961937716262975, 0.8411214953271028, 0.9005524861878453, 0.7675, 0.9056179775280899, 0.8453333333333334, 0.8953771289537713, 0.5460750853242321, 0.3696682464454976, 0, 0.7622377622377622, 0.8325123152709359, 0.8387096774193549, 0.84375, 0.8276923076923077, 0.8408163265306122, 0.45217391304347826, 0.8551136363636364, 0.2078125]",0.8260869565
9,./Manning_Simple/Overlay/img18/WellA1_Seq0000_WellA1_Seq0000_T03_XY8_RGB.tif,"[0.3952569169960474, 0.4564755838641189, 0.48559670781893005, 0.8841463414634146, 0.8981481481481481, 0.3075356415478615, 0.8546511627906976, 0.5666666666666667, 0.8217522658610272, 0.49206349206349204, 0.92, 0.4953789279112754, 0.6530612244897959, 0.5238095238095238, 0.558252427184466, 0.6190476190476191, 0.5382978723404256, 0.747148288973384, 0.7361419068736141, 0.692167577413479, 0.32868217054263565, 0.4878048780487805, 0.5766871165644172, 0.427536231884058, 0.6688453159041394]",0.64
10,./Manning_Simple/Overlay/img19/WellA1_Seq0000_WellA1_Seq0000_T13_XY6_RGB.tif,"[0.7956810631229236, 0.6089743589743589, 0.8568421052631578, 0.8874388254486134, 0.8898876404494382, 0.7943107221006565, 0.00030321357483914193, 0.9004149377593361, 0.7985781990521327, 0, 0.8936936936936937, 0.9142857142857143, 0.762532981530343, 0.9179755671902269, 0.9102803738317757, 0, 0.5632183908045977, 0.8025210084033614, 0.7681159420289855, 0.8924485125858124, 0.9533437013996889, 0.8680555555555556, 0.8763636363636363, 0.8685831622176592]",0.875
11,./Manning_Simple/Overlay/img2/WellC4_Seq0011_WellC4_Seq0011_T01_XY4_RGB.tif,"[0.8039816232771823, 0.8612303290414879, 0.7928994082840237, 0.7521186440677966, 0.719047619047619, 0.8613989637305699, 0.8021978021978022, 0, 0.6994818652849741, 0.540500736377025, 0.8532289628180039, 0.7121951219512195]",0.9166666667
12,./Manning_Simple/Overlay/img20/WellA1_Seq0000_WellA1_Seq0000_T05_XY5_RGB.tif,"[0.7631578947368421, 0.8149882903981265, 0.5667396061269147, 0.5129533678756477, 0.8862144420131292, 0.7154471544715447, 0.7820773930753564, 0.0006651017214397496, 0.9320754716981132, 0.46292134831460674, 0.7133105802047781, 0.9336099585062241, 0.45892351274787535, 0.6813725490196079, 0.8482658959537572, 0.7444717444717445, 0.8796791443850267, 0.4867986798679868, 0.6536796536796536, 0.8614457831325302, 0.7581699346405228, 0.47959183673469385, 0.7828947368421053, 0.908, 0, 0.4649390243902439, 0.5159914712153518, 0, 0.5160256410256411, 0.9492307692307692, 0.8892857142857142]",0.7419354839
13,./Manning_Simple/Overlay/img3/WellA2_Seq0001_WellA2_Seq0001_T04_XY6_RGB.tif,"[0.8974042027194067, 0.8632218844984803, 0.8741092636579573, 0.8309002433090025, 0.8434343434343434, 0.8414634146341463, 0.7959183673469388, 0.7559808612440191, 0.5733333333333334, 0.8137931034482758, 0.756394640682095, 0.6727272727272727, 0.8703241895261845]",1
14,./Manning_Simple/Overlay/img4/WellA3_Seq0002_WellA3_Seq0002_T01_XY1_RGB.tif,"[0.3006872852233677, 0.5450643776824035, 0.5158102766798419, 0.6905487804878049, 0.4765432098765432]",0.6
15,./Manning_Simple/Overlay/img5/WellA3_Seq0002_WellA3_Seq0002_T01_XY4_RGB.tif,"[0.7237308146399055, 0.8009535160905841, 0.6866310160427808, 0.8088962108731467, 0.7618025751072961, 0.8198757763975155, 0.6457789382071366, 0.7765089722675367, 0.7723035952063915, 0.76221928665786, 0.4608150470219436]",0.9090909091
16,./Manning_Simple/Overlay/img6/WellB1_Seq0007_WellB1_Seq0007_T01_XY1_RGB.tif,"[0.6807228915662651, 0.7262247838616714, 0.4912536443148688, 0.7740863787375415, 0.7368421052631579, 0.6542207792207793, 0.7468354430379747, 0.7252396166134185, 0.6885593220338984, 0.6599664991624791, 0.648936170212766, 0.8091954022988506, 0.6073446327683616, 0.7854330708661418, 0.5297029702970297, 0.765625, 0.734225621414914, 0.7960954446854663, 0.6211699164345403, 0.5841346153846154, 0.6442786069651741, 0.6851385390428212, 0.6146788990825688, 0.4691689008042895, 0.632183908045977, 0.8954918032786885, 0.5734072022160664, 0.6411657559198543, 0.8902077151335311, 0.7210626185958254, 0.5559633027522936, 0.5846153846153846]",0.9375
17,./Manning_Simple/Overlay/img7/WellB1_Seq0007_WellB1_Seq0007_T01_XY2_RGB.tif,"[0.7091932457786116, 0, 0, 0.5131195335276968, 0.7028824833702882, 0.7624750499001997, 0.8641509433962264, 0.6764252696456087, 0.7526205450733753, 0, 0.7504835589941973, 0.8433048433048433, 0.7872340425531915, 0.815068493150685]",0.7857142857
18,./Manning_Simple/Overlay/img8/WellB2_Seq0006_WellB2_Seq0006_T01_XY2_RGB.tif,"[0.2801461632155907, 0.7464788732394366, 0.7075098814229249, 0, 0.7035573122529645, 0.5896860986547086, 0.8900928792569659, 0.8949880668257757]",0.75
19,./Manning_Simple/Overlay/img9/WellB3_Seq0005_WellB3_Seq0005_T01_XY6_RGB.tif,"[0.435933147632312, 0.5433376455368694, 0.6275033377837116, 0.7050438596491229, 0.7336108220603538, 0.5786666666666667, 0.5284926470588235]",0.8571428571
20,./Manning_Simple/Overlay,"[1.0, 0.6, 1.0, 0.9, 0.18181818181818182, 0.9166666666666666, 0.8333333333333334, 1.0, 0.8260869565217391, 0.64, 0.875, 0.9166666666666666, 0.7419354838709677, 1.0, 0.6, 0.9090909090909091, 0.9375, 0.7857142857142857, 0.75, 0.8571428571428571]",0.813547767
